ref,title,authors,l_authors,abstract,species,latlong,iconName,year,type,secondary,keywords,l_key,circuit
344,"Local circuit neurons immunoreactive for calretinin, calbindin D-28k or parvalbumin in monkey prefrontal cortex: distribution and morphology","Conde, F. Lund, J. S. Jacobowitz, D. M. Baimbridge, K. G. Lewis, D. A.","conde, f. lund, j. s. jacobowitz, d. m. baimbridge, k. g. lewis, d. a.","In the cerebral cortex, local circuit neurons provide critical inhibitory control over the activity of pyramidal neurons, the major class of excitatory efferent cortical cells. The calcium-binding proteins, calretinin, calbindin, and parvalbumin, are expressed in a variety of cortical local circuit neurons. However, in the primate prefrontal cortex, relatively little is known, especially with regard to calretinin, about the specific classes or distribution of local circuit neurons that contain these calcium-binding proteins. In this study, we used immunohistochemical techniques to characterize and compare the morphological features and distribution in macaque monkey prefrontal cortex of local circuit neurons that contain each of these calcium-binding proteins. On the basis of the axonal features of the labeled neurons, and correlations with previous Golgi studies, calretinin appeared to be present in double-bouquet neurons, calbindin in neurogliaform neurons and Martinotti cells, and parvalbumin in chandelier and wide arbor (basket) neurons. Calretinin was also found in other cell populations, such as a distinctive group of large neurons in the infragranular layers, but it was not possible to assign these neurons to a known cell class. In addition, although the animals studied were adults, immunoreactivity for both calretinin and calbindin was found in Cajal-Retzius neurons of layer I. Dual labeling studies confirmed that with the exception of the Cajal-Retzius neurons, each calcium-binding protein was expressed in separate populations of prefrontal cortical neurons. Comparisons of the laminar distributions of the labeled neurons also indicated that these calcium-binding proteins were segregated into discrete neuronal populations. Calretinin-positive neurons were present in greatest density in deep layer I and layer II, calbindin-immunoreactive cells were most dense in layers II-superficial III, and parvalbumin-containing neurons were present in greatest density in the middle cortical layers. In addition, the relative density of calretinin-labeled neurons was approximately twice that of the calbindin- and parvalbumin-positive neurons. However, within each group of labeled neurons, their laminar distribution and relative density did not differ substantially across regions of the prefrontal cortex. These findings demonstrate that calretinin, calbindin, and parvalbumin are markers of separate populations of local circuit neurons in monkey prefrontal cortex, and that they may be useful tools in unraveling the intrinsic inhibitory circuitry of the primate prefrontal cortex in but normal and disease states.",primate,"83.625650, -109.300268",large_blue,1994,(Journal Article),J Comp Neurol,"Animals, Axons/immunology/metabolism/ultrastructure, Calcium-Binding Protein, Vitamin D-Dependent/immunology/metabolism, Calcium-Binding Proteins/immunology/ metabolism, Female, Immunohistochemistry, Macaca fascicularis, Macaca mulatta, Male, Nerve Tissue Proteins/immunology/metabolism, Neurons/immunology/ metabolism/ultrastructure, Parvalbumins/immunology/metabolism, Prefrontal Cortex/cytology/immunology/ metabolism, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, P.H.S., ","animals, axons/immunology/metabolism/ultrastructure, calcium-binding protein, vitamin d-dependent/immunology/metabolism, calcium-binding proteins/immunology/ metabolism, female, immunohistochemistry, macaca fascicularis, macaca mulatta, male, nerve tissue proteins/immunology/metabolism, neurons/immunology/ metabolism/ultrastructure, parvalbumins/immunology/metabolism, prefrontal cortex/cytology/immunology/ metabolism, research support, non-u.s. gov't, research support, u.s. gov't, p.h.s., ",Cortico-cortical
0,The organization of the connections between the cortex and the claustrum in the monkey,"Pearson, R. C. Brodal, P. Gatter, K. C. Powell, T. P.","pearson, r. c. brodal, p. gatter, k. c. powell, t. p.","The distribution of labelled cells and of extracellular granules in the claustrum has been studied after injections of horseradish peroxidase in several areas of the neocortex. The frontal and parietal lobes are related to the anterior and posterior halves respectively of the claustrum, and the occipital and temporal cortex to the posterior and inferior margins. Parts of the claustrum related to areas of the cortex in the frontal lobe overlap considerably in the antero-posterior dimension with parts related to widely separated but interconnected areas of the parieto-temporal cortex. Areas of cortex within one lobe which are interconnected are related to parts of the claustrum which overlap in the dorsoventral dimension.",primate,"79.600754, -102.358260",large_blue,1982,(Journal Article),Brain Res,"Animals, Brain/ anatomy & histology, Cerebral Cortex/ anatomy & histology, Frontal Lobe/anatomy & histology, Haplorhini, Horseradish Peroxidase, Neural Pathways/anatomy & histology, Occipital Lobe/anatomy & histology, Parietal Lobe/anatomy & histology, Temporal Lobe/anatomy & histology, ","animals, brain/ anatomy & histology, cerebral cortex/ anatomy & histology, frontal lobe/anatomy & histology, haplorhini, horseradish peroxidase, neural pathways/anatomy & histology, occipital lobe/anatomy & histology, parietal lobe/anatomy & histology, temporal lobe/anatomy & histology, ",Cortico-Claustral
346,Local circuit neurons of developing and mature macaque prefrontal cortex: Golgi and immunocytochemical characteristics,"Lund, J. S. Lewis, D. A.","lund, j. s. lewis, d. a.","A study has been made of the nonpyramidal, local circuit neurons in developing and mature macaque monkey prefrontal cortex with Golgi and immunocytochemical techniques. The area chosen for study is located between the cingulate gyrus and the ventral bank of the principal sulcus, and contains areas 9 and 46 as described by Walker (J. Comp. Neurol. 73:59-86, '40). In Golgi studies, the unique axonal features of impregnated neurons made possible the identification of thirteen separate classes of local circuit neurons. Five of these cell types, in their general characteristics, resembled classes identified in human prefrontal cortex, as well as in other cortical areas of macaque monkeys and other species. Measurements of the scale of axon arbors and dendritic fields of the Golgi-stained local circuit neurons also suggested particular spatial relationships of certain classes to the scale of intrinsic lattice connections made by the axons of pyramidal neurons in the same region. Similarities in morphology between cells described in human prefrontal cortex and neuron varieties described in this study indicate that this region of monkey prefrontal cortex may serve as a useful model for neuron populations in human prefrontal cortex. Sufficient morphological detail was present in immunocytochemical studies to suggest one or more identifying biochemical characteristics for seven of the thirteen classes of local circuit neurons. The calcium binding proteins, parvalbumin, calbindin D-28K, and calretinin, were found in chandelier and wide arbor neurons, neurogliaform cells, and double bouquet neurons, respectively. In addition, cholecystokinin immunoreactivity was present in medium arbor neurons and in narrow arbor cells connecting layers 2 and 4. Somatostatin 28(1-12) immunoreactivity was detected in beaded axon neurons in layers 5 and 6. This biochemical characterization of local circuit neurons, although incomplete, confirms the separate identity of at least some of the varieties distinguished by Golgi morphology, and allows a start to be made on studies examining changes in their functional state. The general inhibitory nature of these interneurons suggests that they are likely to play a crucial role in determining patterns of neural activation in the prefrontal cortex.",primate,"82.431990, -135.498245",large_blue,1993,(Journal Article),J Comp Neurol,"Animals, Axons/physiology/ultrastructure, Dendrites/ultrastructure, Immunohistochemistry, Macaca mulatta/ anatomy & histology, Neural Pathways/physiology/ultrastructure, Neurons/physiology/ultrastructure, Prefrontal Cortex/ cytology, Research Support, U.S. Gov't, P.H.S., Staining and Labeling, ","animals, axons/physiology/ultrastructure, dendrites/ultrastructure, immunohistochemistry, macaca mulatta/ anatomy & histology, neural pathways/physiology/ultrastructure, neurons/physiology/ultrastructure, prefrontal cortex/ cytology, research support, u.s. gov't, p.h.s., staining and labeling, ",Cortico-cortical
347,"Local circuit neurons in the medial prefrontal cortex (areas 24a,b,c, 25 and 32) in the monkey: II. Quantitative areal and laminar distributions","Gabbott, P. L. Bacon, S. J.","gabbott, p. l. bacon, s. j.","The companion paper (Gabbott and Bacon [1996] J. Comp. Neurol.) describes the morphology of calretinin (CR)-, parvalbumin (PV)-, calbindin (CB)-, and GABA-immunoreactive neurons, and NADPH diaphorase-reactive cells, in the medial prefrontal cortex (mPFC; areas 24a, 24b, 24c, 25 and 32) of the adult monkey. Since these local circuit neurons play crucial functional roles, the aim of this study was to provide supportive quantitative data defining their areal and laminar distribution in mPFC. The numerical densities of neurons (Nv, number of cells per mm3) in each area and layer were calculated stereologically. The mean total neuronal NV estimates across mPFC was 55,727 +/- 3,319 per mm3 (mean +/- S.D.; n = 3); values ranged from 50,489 +/- 8,374 per mm3 (area 24a) to 59,938 +/- 7,214 per mm3 (area 24c). Interareal differences were not significant. Cortical depth measurements and neuronal NV estimates for each area allowed the absolute number of neurons in a column of cortex under 1 mm2 of surface to be calculated; values varied between 86,457 +/- 15,063 (area 24a) and 128,464 +/- 24,050 (area 24c). Using immunolabelled Nissl-stained sections of mPFC, CR+ neurons constituted 11.2%, PV+ neurons 5.9%, and CB+ neurons 5.0% of the total neuron population. GABA+ neurons represented an overall 24.9% (23.5-27.3%) of neurons in the mPFC. Differences between areas were not significant. The cortical depth distribution histograms of CR+, PV+, CB+, and GABA+ cell populations in each area were derived and the percentage of a given cell population in each layer subsequently calculated. Peaks in the cortical depth distributions of CR+ and CB+ neurons occurred in layer 2 and upper layer 3, respectively; the peak distribution of PV+ neurons occurred between lower layer 3 and upper layer 5. The depth distribution of GABA+ cells reflected the combined distributions of CR+, PV+ and CR+ neurons. In all areas, the majority (74.4-84.0%) of the GABA cell population was located in layers 2/3. The depth distributions for each cell type were similar between areas. Diaphorase-reactive neurons accounted for 0.25% (0.2-0.32%) of all cortical neurons in mPFC and were distributed in two horizontal strata, in midlayer 3 and in mid/upper layer 6. A large population of diaphorase-reactive cells was present in the white matter. The absolute numbers of CR+, PV+, CB+ and GABA+ neurons within individual layers in a column of cortex under 1 mm2 and 50 x 50 microns of cortical surface have been derived. The data presented provide the basis for a quantitative definition of cortical circuits in monkey mPFC.",primate,"82.276222, -134.906826",large_blue,1996,(Journal Article),J Comp Neurol,"Afferent Pathways/anatomy & histology/cytology, Animals, Calcium-Binding Protein, Vitamin D-Dependent/metabolism, Cell Count, Dendrites/ultrastructure, Efferent Pathways/anatomy & histology/cytology, Female, Immunohistochemistry, Macaca fascicularis, NADPH Dehydrogenase/metabolism, Neurons/ physiology/ultrastructure, Parvalbumins/metabolism, Prefrontal Cortex/anatomy & histology/ cytology, Research Support, Non-U.S. Gov't, Synapses/physiology, Tissue Embedding, gamma-Aminobutyric Acid/metabolism, ","afferent pathways/anatomy & histology/cytology, animals, calcium-binding protein, vitamin d-dependent/metabolism, cell count, dendrites/ultrastructure, efferent pathways/anatomy & histology/cytology, female, immunohistochemistry, macaca fascicularis, nadph dehydrogenase/metabolism, neurons/ physiology/ultrastructure, parvalbumins/metabolism, prefrontal cortex/anatomy & histology/ cytology, research support, non-u.s. gov't, synapses/physiology, tissue embedding, gamma-aminobutyric acid/metabolism, ",Cortico-cortical
340,Texture of the nervous system of man and the vertebrates,Santiago Ramon y Cajal Pedro Pasik Tauba Pasik,santiago ramon y cajal pedro pasik tauba pasik,,human,"84.350724, -127.049982",large_blue,2002,(Book),,,,Cortico-cortical
341,Texture of the nervous system of man and the vertebrates,Santiago Ramon y Cajal Pedro Pasik Tauba Pasik,santiago ramon y cajal pedro pasik tauba pasik,,human,"84.312566, -157.692242",large_blue,2002,(Book),,,,Cortico-cortical
342,Texture of the nervous system of man and the vertebrates,Santiago Ramon y Cajal Pedro Pasik Tauba Pasik,santiago ramon y cajal pedro pasik tauba pasik,,human,"81.444890, -158.504859",large_blue,2002,(Book),,,,Cortico-cortical
343,Local circuit neurons of developing and mature macaque prefrontal cortex: Golgi and immunocytochemical characteristics,"Lund, J. S. Lewis, D. A.","lund, j. s. lewis, d. a.","A study has been made of the nonpyramidal, local circuit neurons in developing and mature macaque monkey prefrontal cortex with Golgi and immunocytochemical techniques. The area chosen for study is located between the cingulate gyrus and the ventral bank of the principal sulcus, and contains areas 9 and 46 as described by Walker (J. Comp. Neurol. 73:59-86, '40). In Golgi studies, the unique axonal features of impregnated neurons made possible the identification of thirteen separate classes of local circuit neurons. Five of these cell types, in their general characteristics, resembled classes identified in human prefrontal cortex, as well as in other cortical areas of macaque monkeys and other species. Measurements of the scale of axon arbors and dendritic fields of the Golgi-stained local circuit neurons also suggested particular spatial relationships of certain classes to the scale of intrinsic lattice connections made by the axons of pyramidal neurons in the same region. Similarities in morphology between cells described in human prefrontal cortex and neuron varieties described in this study indicate that this region of monkey prefrontal cortex may serve as a useful model for neuron populations in human prefrontal cortex. Sufficient morphological detail was present in immunocytochemical studies to suggest one or more identifying biochemical characteristics for seven of the thirteen classes of local circuit neurons. The calcium binding proteins, parvalbumin, calbindin D-28K, and calretinin, were found in chandelier and wide arbor neurons, neurogliaform cells, and double bouquet neurons, respectively. In addition, cholecystokinin immunoreactivity was present in medium arbor neurons and in narrow arbor cells connecting layers 2 and 4. Somatostatin 28(1-12) immunoreactivity was detected in beaded axon neurons in layers 5 and 6. This biochemical characterization of local circuit neurons, although incomplete, confirms the separate identity of at least some of the varieties distinguished by Golgi morphology, and allows a start to be made on studies examining changes in their functional state. The general inhibitory nature of these interneurons suggests that they are likely to play a crucial role in determining patterns of neural activation in the prefrontal cortex.",primate,"83.768198, -110.167581",large_blue,1993,(Journal Article),J Comp Neurol,"Animals, Axons/physiology/ultrastructure, Dendrites/ultrastructure, Immunohistochemistry, Macaca mulatta/ anatomy & histology, Neural Pathways/physiology/ultrastructure, Neurons/physiology/ultrastructure, Prefrontal Cortex/ cytology, Research Support, U.S. Gov't, P.H.S., Staining and Labeling, ","animals, axons/physiology/ultrastructure, dendrites/ultrastructure, immunohistochemistry, macaca mulatta/ anatomy & histology, neural pathways/physiology/ultrastructure, neurons/physiology/ultrastructure, prefrontal cortex/ cytology, research support, u.s. gov't, p.h.s., staining and labeling, ",Cortico-cortical
348,Interneuron diversity in layers 2-3 of monkey prefrontal cortex,"Zaitsev, A. V. Povysheva, N. V. Gonzalez-Burgos, G. Rotaru, D. Fish, K. N. Krimer, L. S. Lewis, D. A.","zaitsev, a. v. povysheva, n. v. gonzalez-burgos, g. rotaru, d. fish, k. n. krimer, l. s. lewis, d. a.","The heterogeneity of gamma-aminobutyric acid interneurons in the rodent neocortex is well-established, but their classification into distinct subtypes remains a matter of debate. The classification of interneurons in the primate neocortex is further complicated by a less extensive database of the features of these neurons and by reported interspecies differences. Consequently, in this study we characterized 8 different morphological types of interneurons from monkey prefrontal cortex, 4 of which have not been previously classified. These interneuron types differed in their expression of molecular markers and clustered into 3 different electrophysiological classes. The first class consisted of fast-spiking parvalbumin-positive chandelier and linear arbor cells. The second class comprised 5 different morphological types of continuous-adapting calretinin- or calbindin-positive interneurons that had the lowest level of firing threshold. However, 2 of these morphological types had short spike duration, which is not typical for rodent adapting cells. Neurogliaform cells (NGFCs), which coexpressed calbindin and neuropeptide Y, formed the third class, characterized by strong initial adaptation. They did not exhibit the delayed spikes seen in rodent NGFCs. These results indicate that primate interneurons have some specific properties; consequently, direct translation of classification schemes developed from studies in rodents to primates might be inappropriate.",primate,"83.744638, -123.574428",large_blue,2009,(Journal Article),Cereb Cortex,"Animals, Interneurons/ cytology/ physiology, Macaca fascicularis, Nerve Net/ cytology/ physiology, Prefrontal Cortex/ cytology/ physiology, ","animals, interneurons/ cytology/ physiology, macaca fascicularis, nerve net/ cytology/ physiology, prefrontal cortex/ cytology/ physiology, ",Cortico-cortical
349,Interneuron diversity in layers 2-3 of monkey prefrontal cortex,"Zaitsev, A. V. Povysheva, N. V. Gonzalez-Burgos, G. Rotaru, D. Fish, K. N. Krimer, L. S. Lewis, D. A.","zaitsev, a. v. povysheva, n. v. gonzalez-burgos, g. rotaru, d. fish, k. n. krimer, l. s. lewis, d. a.","The heterogeneity of gamma-aminobutyric acid interneurons in the rodent neocortex is well-established, but their classification into distinct subtypes remains a matter of debate. The classification of interneurons in the primate neocortex is further complicated by a less extensive database of the features of these neurons and by reported interspecies differences. Consequently, in this study we characterized 8 different morphological types of interneurons from monkey prefrontal cortex, 4 of which have not been previously classified. These interneuron types differed in their expression of molecular markers and clustered into 3 different electrophysiological classes. The first class consisted of fast-spiking parvalbumin-positive chandelier and linear arbor cells. The second class comprised 5 different morphological types of continuous-adapting calretinin- or calbindin-positive interneurons that had the lowest level of firing threshold. However, 2 of these morphological types had short spike duration, which is not typical for rodent adapting cells. Neurogliaform cells (NGFCs), which coexpressed calbindin and neuropeptide Y, formed the third class, characterized by strong initial adaptation. They did not exhibit the delayed spikes seen in rodent NGFCs. These results indicate that primate interneurons have some specific properties; consequently, direct translation of classification schemes developed from studies in rodents to primates might be inappropriate.",primate,"84.129369, -133.999597",large_blue,2009,(Journal Article),Cereb Cortex,"Animals, Interneurons/ cytology/ physiology, Macaca fascicularis, Nerve Net/ cytology/ physiology, Prefrontal Cortex/ cytology/ physiology, ","animals, interneurons/ cytology/ physiology, macaca fascicularis, nerve net/ cytology/ physiology, prefrontal cortex/ cytology/ physiology, ",Cortico-cortical
298,Parallel organization of contralateral and ipsilateral prefrontal cortical projections in the rhesus monkey,"Barbas, H. Hilgetag, C. C. Saha, S. Dermon, C. R. Suski, J. L.","barbas, h. hilgetag, c. c. saha, s. dermon, c. r. suski, j. l.","The neocortical commissures have a fundamental role in functional integration across the cerebral hemispheres. We investigated whether commissural projections in prefrontal cortices are organized according to the same or different rules as those within the same hemisphere, by quantitatively comparing density, topography, and laminar origin of contralateral and ipsilateral projections, labeled after unilateral injection of retrograde tracers in prefrontal areas.",primate,"84.101535, -167.459062",large_blue,2005,(Journal Article),BMC Neurosci,"Animals, Comparative Study, Laterality/ physiology, Macaca mulatta, Neural Pathways/physiology, Prefrontal Cortex/ physiology, Research Support, U.S. Gov't, P.H.S., ","animals, comparative study, laterality/ physiology, macaca mulatta, neural pathways/physiology, prefrontal cortex/ physiology, research support, u.s. gov't, p.h.s., ",Cortico-cortical
299,Pattern in the laminar origin of corticocortical connections,"Barbas, H.","barbas, h.","The laminar origin of cortical projections to the frontal cortex was studied in 17 adult rhesus monkeys with the use of the retrograde transport of horseradish peroxidase (HRP). The frontal regions injected with HRP extended from the posterior periarcuate region to the frontal pole. The architectonic boundaries of areas containing HRP-labeled neurons were determined from matched sections stained for the visualization of cell bodies, myelin, or acetylcholinesterase. The results showed that the laminar origin of both nearby and distant corticocortical projections was correlated with the architectonic differentiation of the regions giving rise to the projecting afferent fibers. Frontally directed projections from limbic cortices, which show a rudimentary laminar organization, emanated mainly from deep layers. On the other hand, projections from increasingly more differentiated cortices arose progressively from the upper (or supragranular) layers. This pattern was observed for projections originating along the axis of architectonic differentiation of the visual, somatosensory, auditory, motor, and prefrontal cortical systems. Thus, as the cortical architecture within each system changes from limbic areas toward the primary cortices, the origin of frontally directed projections shifts from predominantly infragranular to predominantly supragranular layers.",primate,"80.957335, -164.750663",large_blue,1986,(Journal Article),J Comp Neurol,"Animals, Cerebral Cortex/ anatomy & histology, Frontal Lobe/anatomy & histology, Limbic System/ anatomy & histology, Macaca mulatta, Neural Pathways/anatomy & histology, Research Support, U.S. Gov't, Non-P.H.S., ","animals, cerebral cortex/ anatomy & histology, frontal lobe/anatomy & histology, limbic system/ anatomy & histology, macaca mulatta, neural pathways/anatomy & histology, research support, u.s. gov't, non-p.h.s., ",Cortico-cortical
296,The laminar pattern of connections between prefrontal and anterior temporal cortices in the Rhesus monkey is related to cortical structure and function,"Rempel-Clower, N. L. Barbas, H.","rempel-clower, n. l. barbas, h.","The laminar pattern of axonal termination from prefrontal (caudal orbitofrontal, rostral orbitofrontal and lateral areas) to anterior temporal areas (entorhinal cortex, perirhinal cortex and area TE) and from temporal to prefrontal areas was investigated with the aid of anterograde tracers. Both regions are characterized by structural heterogeneity, and include agranular, dysgranular and granular cortical types, denoting, respectively, the absence, incipience and presence of granular layer 4. In addition, both the prefrontal and anterior temporal cortices are composed of areas that have related though specialized functions. The pattern of cortical axonal termination was associated with both the structural type of the cortex of origin and the structure of the destination cortex. Thus, efferent fibers from a single origin in either prefrontal or anterior temporal cortex terminated in different patterns depending on their target area. Conversely, axons terminated in different patterns in a single target area, prefrontal or anterior temporal, depending on their area of origin. Projections from agranular or dysgranular type cortices (e.g. medial temporal areas and caudal orbitofrontal areas) terminated mostly in the upper layers of granular cortices (e.g. area TE and lateral prefrontal areas), and projections from granular cortices terminated mostly in the deep layers of agranular or dys- granular cortices. A robust projection from dysgranular orbitofrontal areas terminated in the deep layers of the agranular entorhinal cortex. Projections from prefrontal areas to area TE terminated in the upper layers, and may facilitate focused attention on behaviorally relevant stimuli processed through reciprocal pathways between prefrontal and temporal cortices.",primate,"84.073449, -151.372035",large_blue,2000,(Journal Article),Cereb Cortex,"Animals, Axons/physiology, Biotin/analogs & derivatives, Dextrans, Horseradish Peroxidase, Macaca mulatta, Neural Pathways, Prefrontal Cortex/ cytology/ physiology, Research Support, U.S. Gov't, P.H.S., Temporal Lobe/ cytology/ physiology, Tritium/diagnostic use, ","animals, axons/physiology, biotin/analogs & derivatives, dextrans, horseradish peroxidase, macaca mulatta, neural pathways, prefrontal cortex/ cytology/ physiology, research support, u.s. gov't, p.h.s., temporal lobe/ cytology/ physiology, tritium/diagnostic use, ",Cortico-cortical
