ref	longdesc	label	shortname	shortdesc	neurolex	latLng	circuit
56	The pons receives nearly all its afferent projections from the isocortex and sends nearly all its efferent output to the cerebellum(Brodal & Bjaalie, 1992). This close relationship is demonstrated by the tight correlated volumetric evolution between the pons and cerebral cortex across species. The pons accounting for 6% of the brainstem in prosimians, 11-21% in monkeys and 37% in humans(Brodal & Bjaalie, 1992). As discussed, the pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz et al., 1984). The pons then continues to project topographically onto the cerebellum(Kelly & Strick, 2003).	Ref-unknown-L3_41_	Pons	Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the disinhibitory projection to the DCN that projects to the ventral thalamus.	http://neurolex.org/wiki/Category:Pons	76.928330, -112.333660	All	
54	 Among other factors, the matrix compartments have high cholinesterase activity, while patches are enriched in enkephalin(i.e. endorphins)(Gerfen, 1984). The stria tum contains multiple interneurons containing both GABA and acetylcholine forming distinct intrastriatal networks(Kawaguchi et al., 1995).<br>The matrix compartments of the striatum receive projections from C5s neurons across the entire isocortex(Jones et al., 1977; Yeterian & Pandya, 1994; Arikuni & Kubota, 1986; Kunishio & Haber, 1994). The cortical projections are topographically mapped(Alexander et al., 1986). In general the striatum receives reciprocal projections back from the thalamic nuclei that it projects to. The intralaminar thalamus projects topographically onto the striatum with the rough order CM→putamen, PF→caudate, midline→ventral striatum(Tande et al., 2006; Sadikot, Parent, & Francois, 1992; Sadikot, Parent, Smith, & Bolam, 1992). The ventral thalamus projects back onto the striatum(McFarland & Haber, 2001).	Ref-unknown-L3_39_	Striatum	The striatum can be divided into histologically defined compartments called matrix(matrisome) and patch(striosome).  	http://neurolex.org/wiki/Category:Striatum	76.890678, -117.647099	All	
50	The striatum can be divided into histologically defined compartments called matrix(matrisome) and patch(striosome). Among other factors, the matrix compartments have high cholinesterase activity, while patches are enriched in enkephalin(i.e. endorphins)(Gerfen, 1984). The striatum contains multiple interneurons containing both GABA and acetylcholine forming distinct intrastriatal networks(Kawaguchi et al., 1995).<br>The matrix compartments of the striatum receive projections from C5s neurons across the entire isocortex(Jones et al., 1977; Yeterian & Pandya, 1994; Arikuni & Kubota, 1986; Kunishio & Haber, 1994). The cortical projections are topographically mapped(Alexander et al., 1986). In general the striatum receives reciprocal projections back from the thalamic nuclei that it projects to. The intralaminar thalamus projects topographically onto the striatum with the rough order CM→putamen, PF→caudate, midline→ventral striatum(Tande et al., 2006; Sadikot, Parent, & Francois, 1992; Sadikot, Parent, Smith, & Bolam, 1992). The ventral thalamus projects back onto the striatum(McFarland & Haber, 2001).	Ref-unknown-L3_36_	Striatum Matrix(matrisome)	Neuroanatomically, the matrix portion of the striatum recieves topographic afferent input from the isocortex and intralaminar thalamus to drive the direct (SmD1) and indiredt (SmD2) pathways through the basal ganglia.	http://neurolex.org/wiki/Category:Striatum_matrix_medium_spiny_cell	78.469140, -114.776957	All	
60	The output of the cerebellum arises from inhibitory purkinje cells that target the deep cerebellar nuclei (DCN)(Ramnani, 2006). Therefore, like the basal ganglia the cerebellum functions on the principle of disinhibition. A detailed cerebellum review is useful for under- standing the internal cerebellar circuitry(Voogd, 2003). The output of the DCN is an excitatory glutamatergic projection targeting predominantly the ventral thalamus(Sakai et al., 1996). 	Ref-unknown-L3_42_	DCN - Deep Cerebellar Nuclei	Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the disinhibitory projection to the DCN that projects to the ventral thalamus.	http://neurolex.org/wiki/Category:Deep_cerebellar_nuclear_complex	76.033034, -104.908436	All	
61	The pons receives nearly all its afferent projections from the isocortex and sends nearly all its efferent output to the cerebellum(Brodal & Bjaalie, 1992). This close relationship is demonstrated by the tight correlated volumetric evolution between the pons and cerebral cortex across species. The pons accounting for 6% of the brainstem in prosimians, 11-21% in monkeys and 37% in humans(Brodal & Bjaalie, 1992). As discussed, the pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz et al., 1984). The pons then continues to project topographically onto the cerebellum(Kelly & Strick, 2003). The output of the cerebellum arises from inhibitory purkinje cells that target the deep cerebellar nuclei (DCN)(Ramnani, 2006). Therefore, like the basal ganglia the cerebellum functions on the principle of disinhibition. A detailed cerebellum review is useful for under- standing the internal cerebellar circuitry(Voogd, 2003). The output of the DCN is an excitatory glutamatergic projection targeting predominantly the ventral thalamus(Sakai et al., 1996). The cortico-cerebellar-thalamocortical circuit results in closed loop topographic projections to wide areas of the frontal, temporal, and parietal cortices(LeVay & Sherk, 1981; Kelly & Strick, 2003).	Ref-unknown-L3_43_	Metencephalon	The metencephalon includes the pons, cerebellum, and deep cerebellar nuclei.	http://neurolex.org/wiki/Category:Metencephalon	75.097866, -107.115772	All	
62	The pons receives its cortical projection from the C5p cells from the entire cerebral cortex(Glickstein et al., 1985; Brodal, 1978; Leichnetz et al., 1984). The pons then continues to project topographically onto the cerebellum(Kelly & Strick, 2003). The output of the cerebellum arises from inhibitory purkinje cells that target the deep cerebellar nuclei (DCN)(Ramnani, 2006). Therefore, like the basal ganglia the cerebellum functions on the principle of disinhibition. A detailed cerebellum review is useful for understanding the internal cerebellar circuitry(Voogd, 2003).	Ref-unknown-L3_44_	Cerebellum	Neuroanatomically, the pons integrates and transmits cortically evoked C5p output to the cerebellum. The cerebellum appears to be a control system for fine tuning and stabilizing sequences of movement and cognitive behaviors through the disinhibitory projection to the DCN that projects to the ventral thalamus.	http://neurolex.org/wiki/Category:Cerebellum	76.279039, -95.537744	All	
63	The claustrum is located midway between layer 6 of insular cortex (from which it breaks off early in brain development) and the striatum. Debate is ongoing on whether the claustrum’s develop- mental origin is cortical, striatal, or a hybrid(Edelstein & Denaro, 2004).<br>Projections from the claustrum target nearly the entire brain, with little segregation of projections in the claustrum(Tanne-Gariepy et al., 2002). Claustrum projections travel through the external capsule and appear slightly biased to cognitive and cortical control centers of the brain(Molnar et al., 2006). The projections from the claustrum terminate mostly in layer 4 and appear to preferentially target inhibitory neurons, possibly chandelier cells(LeVay, 1986; LeVay & Sherk, 1981).	Ref-unknown-L3_45_	Claustrum	Neuroanatomically, the claustrum appears to integrate cortical information from C6m neurons and provide feedforward excitatory input to inhibitory neurons in L4 of the cerebral cortex.	http://neurolex.org/wiki/Category:Claustrum	78.721204, -104.129954	All	
64	 In all vertebrates, motor neurons in the spinal chord project acetylcholine onto muscles to make them contract(Lieber, 2002; Striedter, 2005). In higher mammals projections from large neurons in lower layer 5 (C5p) of primary motor cortex directly target motor neurons in the spinal chord(Stanfield, 1992). The direct projection to the spinal chord is weak in lower mammals, but becomes increasingly prominent in primates, and presumably dominates in humans(Lemon & Griffiths, 2005).	Ref-unknown-L3_46_	Spinal Cord	The spinal cord contains alpha motor neurons that directly project to muscles.	http://neurolex.org/wiki/Category:Spinal_cord	78.728301, -110.808217	All	
49	SmD2 neurons are GABAergic spiny projection neurons found within the matrix portion of the striatum that express dopamine D2 receptors. The effect of dopamine on SmD2 neurons decreases excitability(Surmeier et al., 2007). SmD2 is traditionally considered part of the indirect pathway through the basal ganglia because of its projections to the Gpe(Haber et al., 1990; M. Levesque & Parent, 2005).	Ref-unknown-L3_35_	SmD2 - Striatum matrix (Dopamine D2)	SmD2 appears as a C5s cortically evoked 'stop' action mapping through the dual disinhibitory-disinhibitory indirect pathway SmD2->Gpe->Gpi/Snr or the feedback pathway SmD2->Gpe->SmD1 learned from negative dopamine reinforcement.	http://neurolex.org/wiki/Category:Striatum_matrix_medium_spiny_cell	79.605257, -121.385123	All	
66	The Snc is the source of dopaminergic projections in the basal ganglia. The Snc receives its major afferent input from the patch compartments in the striatum(Fujiyama et al., 2011; Gerfen, 1984). The Snc is tonically active and receives additional inhibitory input from virtually all other structures in the basal ganglia(Lee & Tepper, 2009). The Snc projects onto the matrix compartment of the striatum(Matsuda et al., 2009; Langer & Graybiel, 1989; Gerfen & Surmeier, 2010)	Ref-unknown-L3_34_	Snc - Substantia Nigra pars Compacta	Neuroanatomically, the Snc appears to provide a differential dopamine reward signal to the striatum to learn start and stop action sequences.	http://neurolex.org/wiki/Category:Substantia_nigra_pars_compacta	76.238346, -128.265128	All	
